journal_title,Scopus only,OpenAlex Seed only,OpenAlex FT only,Dimensions only,Scopus ∩ OA Seed,Scopus ∩ OA FT,Scopus ∩ Dimensions,OA Seed ∩ OA FT,OA Seed ∩ Dimensions,OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT,Scopus ∩ OA Seed ∩ Dimensions,Scopus ∩ OA FT ∩ Dimensions,OA Seed ∩ OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT ∩ Dimensions
Public Health Nutrition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
Journal of Nutrition Education and Behavior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
Journal of the Academy of Nutrition and Dietetics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
International Journal of Environmental Research and Publi...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
Journal of Hunger and Environmental Nutrition,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0
Food Policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
Nutrients,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0
Journal of Nutrition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
American Journal of Preventive Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Applied Economic Perspectives and Policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Appetite,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
BMC Public Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
American Journal of Agricultural Economics,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
Southern Economic Journal,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
PLoS ONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Health and Place,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Current Developments in Nutrition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Obesity,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
American Journal of Clinical Nutrition,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Health Affairs,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
Agricultural Economics (United Kingdom),0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Translational Behavioral Medicine,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Preventive Medicine,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Frontiers in Nutrition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Journal of Agricultural and Applied Economics,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Journal of Cleaner Production,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Journal of Public Affairs,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
The International Food and Agribusiness Management Review,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
Food Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Agribusiness,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
American Journal of Health Promotion,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Annual Review of Resource Economics,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Review of Economics of the Household,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Journal of Hunger & Environmental Nutrition,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Nutrition Journal,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Preventive Medicine Reports,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Agriculture and Human Values,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Applied Geography,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Economics and Human Biology,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
European Review of Agricultural Economics,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
International Journal of Behavioral Nutrition and Physica...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Journal of Agriculture Food Systems and Community Develop...,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Social Science and Medicine,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Frontiers in Public Health,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
JAMA Network Open,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Advances in Nutrition,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
American Journal of Public Health,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
American Journal on Addictions,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Annals of Epidemiology,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Family and Consumer Sciences Research Journal,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Journal of Food Composition and Analysis,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Naval Research Logistics,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Nutrition and Health,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Resources Conservation and Recycling,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Supportive Care in Cancer,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
British Food Journal,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Contemporary Clinical Trials,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Journal of Racial and Ethnic Health Disparities,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Social Work in Public Health,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Addiction,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Agricultural and Resource Economics Review,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
American Economic Journal: Economic Policy,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
American Heart Journal,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Annals of Regional Science,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Annals of the American Association of Geographers,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Annual Review of Public Health,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
BMJ Open,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
British Journal Of Nutrition,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
British Journal of Cancer,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
