journal_title,Scopus only,OpenAlex Seed only,OpenAlex FT only,Dimensions only,Scopus ∩ OA Seed,Scopus ∩ OA FT,Scopus ∩ Dimensions,OA Seed ∩ OA FT,OA Seed ∩ Dimensions,OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT,Scopus ∩ OA Seed ∩ Dimensions,Scopus ∩ OA FT ∩ Dimensions,OA Seed ∩ OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT ∩ Dimensions
Journal of Rural Health,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0
International Journal of Environmental Research and Publi...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
JAMA Network Open,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0
Preventive Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
Medical Care,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0
Health Services Research,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0
The Journal of Rural Health,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
Cancer,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
PLoS ONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
BMC Public Health,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
Health Affairs,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
Gynecologic Oncology,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
Supportive Care in Cancer,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
Drug and Alcohol Dependence,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
Rural Sociology,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
American Journal of Preventive Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
Cancer Causes and Control,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
Population Research and Policy Review,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
Social Science and Medicine,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
American Journal of Public Health,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
Journal of General Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
Annals of Epidemiology,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
Cancer Epidemiology,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
Cancer Epidemiology Biomarkers & Prevention,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
Public Health Nutrition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Breast Cancer Research and Treatment,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
Journal of Public Health Management and Practice,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
Applied Economic Perspectives and Policy,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
Journal of Rural Studies,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
Journal of the American Medical Directors Association,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
Frontiers in Public Health,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
Journal of Nutrition Education and Behavior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Annals of Surgical Oncology,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
Environmental Research,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
International Journal of Radiation Oncology Biology Physics,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
Journal of Health Care for the Poor and Underserved,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
Journal of Surgical Oncology,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
Public Health Reports,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
Preventive Medicine Reports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Telecommunications Policy,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
Addiction,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
Cancer Epidemiology Biomarkers and Prevention,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Policy,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
International Journal of Drug Policy,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
JCO Oncology Practice,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
Journal of the American Academy of Dermatology,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
Journal of the American Board of Family Medicine,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
Substance Use &amp Addiction Journal,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
Health and Place,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
Journal of Community Health,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
Journal of the American Geriatrics Society,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
Laryngoscope,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
Neuro-Oncology,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
American Journal of Epidemiology,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Journal of Applied Gerontology,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Journal of Cancer Education,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Journal of Cancer Survivorship,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
Journal of Surgical Research,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
Journal of the American Pharmacists Association,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
Journal of the National Cancer Institute,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
Preventing Chronic Disease,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Southern Medical Journal,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
Applied Geography,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
Renewable Agriculture and Food Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
American Journal of Health Promotion,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
Cancer Causes & Control,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
Economic Development Quarterly,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
JAMA Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Journal of Addiction Medicine,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Journal of Neuro-Oncology,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
Journal of Substance Abuse Treatment,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Journal of Surgical Education,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
Maternal and Child Health Journal,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Substance Abuse,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Journal of Medical Internet Research,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
Academic Pediatrics,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Addictive Behaviors,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
Annals of Family Medicine,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
BMJ Open,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
International Regional Science Review,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Journal of Agricultural and Applied Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Journal of Clinical Oncology,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
Journal of Gastrointestinal Surgery,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Journal of Hunger and Environmental Nutrition,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Journal of Pediatrics,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Journal of Primary Care and Community Health,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Journal of Public Health Dentistry,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
Journal of the American College of Surgeons,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Nutrients,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
Rural and Remote Health,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
SSM - Population Health,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
Substance Use and Misuse,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
Cancer Medicine,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
American Journal of Agricultural Economics,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
American Journal of Criminal Justice,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
American Journal of Obstetrics and Gynecology,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Clinical Orthopaedics and Related Research,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
JAMA Surgery,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Journal of Interpersonal Violence,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Milbank Quarterly,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Population Health Management,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Society and Natural Resources,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
