journal_title,Scopus only,OpenAlex Seed only,OpenAlex FT only,Dimensions only,Scopus ∩ OA Seed,Scopus ∩ OA FT,Scopus ∩ Dimensions,OA Seed ∩ OA FT,OA Seed ∩ Dimensions,OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT,Scopus ∩ OA Seed ∩ Dimensions,Scopus ∩ OA FT ∩ Dimensions,OA Seed ∩ OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT ∩ Dimensions
Public Health Nutrition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
International Journal of Environmental Research and Publi...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Journal of Hunger and Environmental Nutrition,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
Preventing Chronic Disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Agriculture and Human Values,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
American Journal of Obstetrics and Gynecology,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
Journal of Agriculture Food Systems and Community Develop...,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
Applied Geography,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
Journal of Nutrition Education and Behavior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Health Promotion Practice,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
BMC Public Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Health and Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
American Journal of Preventive Medicine,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Obstetrics and Gynecology,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
Applied Economic Perspectives and Policy,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
Nutrients,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
Ethnicity and Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Translational Behavioral Medicine,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Professional Geographer,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
Journal of the Academy of Nutrition and Dietetics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Current Developments in Nutrition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Frontiers in Public Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Journal of Public Affairs,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
American Journal of Health Promotion,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Food Policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Journal of General Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Journal of School Health,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Local Environment,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Journal of Transport and Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Preventive Medicine Reports,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Scientific Reports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
American Journal of Public Health,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Appetite,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Journal of Community Health,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
