journal_title,Scopus only,OpenAlex Seed only,OpenAlex FT only,Dimensions only,Scopus ∩ OA Seed,Scopus ∩ OA FT,Scopus ∩ Dimensions,OA Seed ∩ OA FT,OA Seed ∩ Dimensions,OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT,Scopus ∩ OA Seed ∩ Dimensions,Scopus ∩ OA FT ∩ Dimensions,OA Seed ∩ OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT ∩ Dimensions
Agricultural Finance Review,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
Applied Economic Perspectives and Policy,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0
Journal of Agricultural and Applied Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Journal of Agriculture Food Systems and Community Develop...,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0
American Journal of Agricultural Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
Journal of Soil and Water Conservation,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0
Renewable Agriculture and Food Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
Agronomy Journal,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
Agriculture and Human Values,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Agricultural and Resource Economics Review,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Agricultural Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Frontiers in Sustainable Food Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Environmental Research Letters,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
Sustainability,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
Sustainability (Switzerland),0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
Land Use Policy,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
Food Policy,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
Remote Sensing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Journal of Cleaner Production,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
Agribusiness,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
EDIS,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
European Review of Agricultural Economics,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
The Science of The Total Environment,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
Land Economics,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
Agricultural Economics (United Kingdom),0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Journal of Agricultural Economics,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Journal of Extension,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
Scientific Reports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Applied Animal Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
HortTechnology,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
PLoS ONE,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
Climatic Change,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
Ecological Economics,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
Weed Technology,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
Applied Economics,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
Journal of Environmental Management,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Land,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Precision Agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
SSRN Electronic Journal,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
Water Resources Research,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Agroecology and Sustainable Food Systems,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Agronomy,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Computers and Electronics in Agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
HortScience,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Environmental Quality,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Journal of Official Statistics,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
JAWRA Journal of the American Water Resources Association,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Scientific Data,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Scientific investigations report,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
The International Food and Agribusiness Management Review,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
California Agriculture,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Applied Farm Economics,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Journal of Dairy Science,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Pest Management Science,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Proceedings of the National Academy of Sciences of the Un...,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Remote Sensing of Environment,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
China Agricultural Economic Review,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
International Journal of Environmental Research and Publi...,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Applied Communications,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the Agricultural and Applied Economics Associa...,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Society & Natural Resources,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica A Keystone in a Changing World,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Canadian Journal of Agricultural Economics,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecology and Society,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Frontiers in Veterinary Science,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
International Food and Agribusiness Management Review,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Journal of Agricultural Science,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitigation and Adaptation Strategies for Global Change,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Rangeland Ecology & Management,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Review of Agricultural Food and Environmental Studies,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Agricultural Water Management,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Annual Review of Resource Economics,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
