journal_title,Scopus only,OpenAlex Seed only,OpenAlex FT only,Dimensions only,Scopus ∩ OA Seed,Scopus ∩ OA FT,Scopus ∩ Dimensions,OA Seed ∩ OA FT,OA Seed ∩ Dimensions,OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT,Scopus ∩ OA Seed ∩ Dimensions,Scopus ∩ OA FT ∩ Dimensions,OA Seed ∩ OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT ∩ Dimensions
Agronomy Journal,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0
Science of the Total Environment,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0
Renewable Agriculture and Food Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
Agriculture and Human Values,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
Journal of Agriculture Food Systems and Community Develop...,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0
Environmental Research Letters,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0
Sustainability (Switzerland),0,0,0,0,0,0,0,0,0,0,0,172,0,0,0
Frontiers in Sustainable Food Systems,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0
Applied Economic Perspectives and Policy,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0
American Journal of Agricultural Economics,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0
Journal of Agromedicine,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0
Journal of Environmental Management,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0
Journal of Agricultural and Applied Economics,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0
Agricultural Water Management,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0
HortTechnology,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0
PLoS ONE,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0
Journal of Soil and Water Conservation,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0
Journal of Environmental Quality,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0
Journal of Rural Studies,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0
Water Resources Research,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0
Land Use Policy,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0
HortScience,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0
International Journal of Environmental Research and Publi...,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0
Transactions of the ASABE,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0
Agricultural Systems,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0
Agricultural Finance Review,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0
Climatic Change,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0
Environmental Science and Technology,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0
Agricultural and Resource Economics Review,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
Journal of Agricultural Safety and Health,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0
Journal of Cleaner Production,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0
Journal of the ASABE,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
Society and Natural Resources,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0
Plant Disease,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0
EDIS,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0
Journal of Dairy Science,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0
Agronomy,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0
Food Policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
Journal of the American Water Resources Association,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
Weed Technology,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0
Remote Sensing,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0
Land,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0
Scientific Reports,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0
Environmental Management,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
Hydrology and Earth System Sciences,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
Journal of Animal Science,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
Remote Sensing of Environment,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0
Agroecology and Sustainable Food Systems,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0
Agricultural and Forest Meteorology,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0
Applied Engineering in Agriculture,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0
Global Change Biology,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0
Journal of Economic Entomology,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
Rural Sociology,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0
Preventive Veterinary Medicine,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
International Journal of Applied Earth Observation and Ge...,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0
Agricultural Economics (United Kingdom),0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
Land Economics,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
Proceedings of the National Academy of Sciences of the Un...,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
The Science of The Total Environment,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
Crop Science,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
Frontiers in Veterinary Science,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
Water (Switzerland),0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
Agribusiness,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
Agriculture (Switzerland),0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
GCB Bioenergy,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
Journal of Extension,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
Soil Science Society of America Journal,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
Agriculture Ecosystems & Environment,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
Community Development,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
Ecological Economics,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
Environmental Entomology,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
Agroforestry Systems,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
Precision Agriculture,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
