journal_title,Scopus only,OpenAlex Seed only,OpenAlex FT only,Dimensions only,Scopus ∩ OA Seed,Scopus ∩ OA FT,Scopus ∩ Dimensions,OA Seed ∩ OA FT,OA Seed ∩ Dimensions,OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT,Scopus ∩ OA Seed ∩ Dimensions,Scopus ∩ OA FT ∩ Dimensions,OA Seed ∩ OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT ∩ Dimensions
The Journal of Rural Health,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
Agricultural Finance Review,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Agriculture and Human Values,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
JAMA Network Open,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
PLoS ONE,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Society & Natural Resources,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
BMC Public Health,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
International Journal of Environmental Research and Publi...,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
SSRN Electronic Journal,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Frontiers in Public Health,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Land Use Policy,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Applied Economic Perspectives and Policy,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Cancer Medicine,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Gynecologic Oncology,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Rural Studies,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Agricultural and Resource Economics Review,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Agronomy Journal,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
American Journal of Agricultural Economics,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Cancer Causes & Control,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Cancer Epidemiology Biomarkers & Prevention,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Cureus,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Energy Policy,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Environmental Education Research,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Food Policy,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
GCB Bioenergy,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Health Services Research,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Land Economics,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Natural Sciences Education,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Perspectives on Public Management and Governance,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Cancers,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Frontiers in Sustainable Food Systems,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Population Research and Policy Review,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Preventing Chronic Disease,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Renewable Agriculture and Food Systems,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Review of Regional Studies,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Social Science & Medicine,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
The Annals of Regional Science,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
The Annals of the American Academy of Political and Socia...,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
The Journal of the American Board of Family Medicine,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
BMJ Open,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Energy Research and Social Science,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Environmental Research,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Food Studies,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontiers in Oncology,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Health Affairs Scholar,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
International Journal of Economics and Finance,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agrarian Change,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Applied Economics,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agriculture Food Systems and Community Develop...,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Applied Communications,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Environmental Management,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Journal of Extension,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Gerontological Social Work,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Hunger & Environmental Nutrition,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Soil and Water Conservation,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the Science of Food and Agriculture,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Land,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Preventive Medicine,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Preventive Medicine Reports,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Public Health Nutrition,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Rural Sociology,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SSM - Population Health,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Small Business Economics,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Sustainability (Switzerland),0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
