journal_title,Scopus only,OpenAlex Seed only,OpenAlex FT only,Dimensions only,Scopus ∩ OA Seed,Scopus ∩ OA FT,Scopus ∩ Dimensions,OA Seed ∩ OA FT,OA Seed ∩ Dimensions,OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT,Scopus ∩ OA Seed ∩ Dimensions,Scopus ∩ OA FT ∩ Dimensions,OA Seed ∩ OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT ∩ Dimensions
Applied Economic Perspectives and Policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
Journal of Hunger and Environmental Nutrition,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
Public Health Nutrition,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
Journal of Nutrition Education and Behavior,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
Journal of Agriculture Food Systems and Community Develop...,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
Food Policy,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
Agricultural Finance Review,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
American Journal of Public Health,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
International Journal of Environmental Research and Publi...,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Journal of Nutrition,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Journal of Agricultural and Applied Economics,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the Academy of Nutrition and Dietetics,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
American Journal of Agricultural Economics,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Food Security,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Annals of Epidemiology,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
BMC Public Health,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Health Affairs,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Journal of Economic and Social Measurement,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
