id,run_id,publisher_id,external_id,title,cite_score,last_updated_date
286,41,115.0,18659,Anais da Academia Brasileira de Ciencias,2.1,1/24/2024 5:40:35 PM
287,41,116.0,17700156420,Notulae Botanicae Horti Agrobotanici Cluj-Napoca,1.7,1/24/2024 5:40:35 PM
289,41,118.0,21100868867,African Journal of Agricultural and Resource Economics,0.4,1/24/2024 5:40:35 PM
291,41,120.0,21100790079,Journal of Agricultural Extension,0.6,1/24/2024 5:40:35 PM
292,41,121.0,37316,Canadian Journal of Soil Science,2.3,1/24/2024 5:40:35 PM
293,41,122.0,75138,Indian Journal of Agricultural Research,0.6,1/24/2024 5:40:35 PM
296,41,125.0,100888,Built Environment,1.3,1/24/2024 5:40:35 PM
298,41,127.0,21100457028,Science Advances,16.6,1/24/2024 5:40:35 PM
299,41,128.0,17687,Avian Diseases,2.4,1/24/2024 5:40:35 PM
300,41,129.0,26916,AIP Conference Proceedings,0.7,1/24/2024 5:40:35 PM
301,41,130.0,19600166216,Earth Interactions,5.3,1/24/2024 5:40:35 PM
302,41,130.0,13550,Journal of Climate,9.8,1/24/2024 5:40:35 PM
303,41,130.0,21100215718,"Weather, Climate, and Society",4.1,1/24/2024 5:40:35 PM
304,41,131.0,60195,Plant Disease,3.0,1/24/2024 5:40:35 PM
305,41,132.0,21100995107,"2019 International Annual Conference Proceedings of the American Society for Engineering Management and 40th Meeting Celebration: A Systems Approach to Engineering Management Solutions, ASEM 2019",,1/24/2024 5:40:35 PM
306,41,133.0,25341,HortScience,2.1,1/24/2024 5:40:35 PM
307,41,133.0,25344,HortTechnology,1.5,1/24/2024 5:40:35 PM
308,41,133.0,26724,Journal of the American Society for Horticultural Science,1.9,1/24/2024 5:40:35 PM
309,41,134.0,12366,Photogrammetric Engineering and Remote Sensing,3.2,1/24/2024 5:40:35 PM
310,41,135.0,21100840448,2017 ASABE Annual International Meeting,,1/24/2024 5:40:35 PM
311,41,135.0,21100931211,2019 ASABE Annual International Meeting,,1/24/2024 5:40:35 PM
312,41,135.0,21101073566,6th Decennial National Irrigation Symposium,,1/24/2024 5:40:35 PM
313,41,135.0,16190,Applied Engineering in Agriculture,1.9,1/24/2024 5:40:35 PM
314,41,135.0,21100878878,ASABE 2018 Annual International Meeting,,1/24/2024 5:40:35 PM
315,41,135.0,21101028306,ASABE 2020 Annual International Meeting,,1/24/2024 5:40:35 PM
316,41,135.0,38688,Journal of Agricultural Safety and Health,1.5,1/24/2024 5:40:35 PM
317,41,135.0,21100230300,Transactions of the ASABE,2.6,1/24/2024 5:40:35 PM
318,41,136.0,15639,Agronomy Journal,3.2,1/24/2024 5:40:35 PM
319,41,137.0,23375,Journal of Environmental Quality,4.6,1/24/2024 5:40:35 PM
320,41,138.0,21100882804,"ASME 2018 12th International Conference on Energy Sustainability, ES 2018, collocated with the ASME 2018 Power Conference and the ASME 2018 Nuclear Forum",,1/24/2024 5:40:35 PM
322,41,139.0,17123,Journal of the American Veterinary Medical Association,1.8,1/24/2024 5:40:35 PM
323,41,140.0,19700200703,Annual Review of Resource Economics,6.4,1/24/2024 5:40:35 PM
325,41,142.0,23375,Journal of Environmental Quality,4.6,1/24/2024 5:40:35 PM
327,41,144.0,21100317750,Journal of Environmental Management and Tourism,2.1,1/24/2024 5:40:35 PM
328,41,145.0,21100913137,Asian Journal of Agriculture and Rural Development,0.3,1/24/2024 5:40:35 PM
330,41,147.0,4700151729,Ciencia e Saude Coletiva,1.8,1/24/2024 5:40:35 PM
335,41,151.0,29932,Mitteilungen der Osterreichischen Geographischen Gesellschaft,0.5,1/24/2024 5:40:35 PM
336,41,152.0,21100229246,Agroecology and Sustainable Food Systems,3.5,1/24/2024 5:40:35 PM
337,41,152.0,29421,Aquaculture Economics and Management,5.2,1/24/2024 5:40:35 PM
338,41,152.0,4700152877,Journal of Agricultural and Food Information,1.3,1/24/2024 5:40:35 PM
339,41,152.0,7600153124,Journal of Hunger and Environmental Nutrition,2.4,1/24/2024 5:40:35 PM
340,41,152.0,18109,Sociological Spectrum,1.2,1/24/2024 5:40:35 PM
341,41,153.0,21100209313,Open Agriculture Journal,1.4,1/24/2024 5:40:35 PM
342,41,154.0,21100286318,"Energy, Sustainability and Society",4.2,1/24/2024 5:40:35 PM
